ID	text	sentiment
157_1	The action was taken to cushion the effects on prospective economic growth in the United States of increasing weakness in foreign economies and of less accommodative financial conditions domestically	dovish
161_2	Such trends could foster inflationary imbalances that would undermine the economy's exemplary performance	hawkish
52_0	The Federal Open Market Committee at its meeting today decided to maintain the existing stance of monetary policy, keeping its target for the federal funds rate at 6-1/2 percent	neutral
21_5	Although continuing favorable trends bolster long-term prospects for productivity growth and the economy, the Committee continues to believe that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the risks are weighted mainly toward conditions that may generate economic weakness in the foreseeable future	dovish
78_7	The Committee perceives that the upside and downside risks to the attainment of sustainable growth for the next few quarters are roughly equal	neutral
115_6	Nonetheless, the Committee judges that some inflation risks remain	hawkish
160_4	As a consequence, the pool of available workers willing to take jobs has been drawn down further in recent months, a trend that must eventually be contained if inflationary imbalances are to remain in check and economic expansion continue	hawkish
114_3	Readings on core inflation have been elevated, and the high levels of resource utilization and of the prices of energy and other commodities have the potential to sustain inflation pressures	hawkish
60_0	The Federal Open Market Committee at its meeting today decided to lower its target for the federal funds rate by 50 basis points to 4 percent	dovish
80_7	The Committee judges that, on balance, the risk of inflation becoming undesirably low remains the predominant concern for the foreseeable future	dovish
109_5	The Committee judges that some further policy firming may be needed to keep the risks to the attainment of both sustainable economic growth and price stability roughly in balance	hawkish
129_4	Nevertheless, the economy seems likely to continue to expand at a moderate pace over coming quarters, supported by solid growth in employment and incomes and a robust global economy	neutral
17_2	Consumer and business confidence has eroded further, exacerbated by rising energy costs that continue to drain consumer purchasing power and press on business profit margins	dovish
7_0	The Federal Open Market Committee made no change today in its target for the federal funds rate	neutral
159_3	In these circumstances, the Federal Open Market Committee will need to be especially alert in the months ahead to the potential for costs to increase significantly in excess of productivity in a manner that could contribute to inflation pressures and undermine the impressive performance of the economy	hawkish
41_1	The federal funds rate is expected to fall 25 basis points from around 5 percent to around 4-3/4 percent	dovish
106_2	Today's action will be reflected in a 25 basis point decline in the federal funds rate from about 6 percent to about 5-3/4 percent	dovish
63_0	The Federal Open Market Committee decided today to lower its target for the federal funds rate by 50 basis points to 3 percent	dovish
