article_number,year,month,EPU,label,unique_id_current,vintage
1,2002,11,0.0,0.0,SF_11_2002_10,Current
2,2004,7,1.0,1.0,SF_7_2004_9,Current
2,2011,11,0.0,0.0,DMNB_11_2011_4,Current
3,2009,11,0.0,0.0,LA_11_2009_16,Current
4,1988,12,1.0,1.0,LA_12_1988_13,Current
5,1996,8,1.0,1.0,SF_8_1996_1,Current
5,2009,7,0.0,0.0,NYT_7_2009_1,Current
6,1986,10,1.0,1.0,MIHB_10_1986_2,Current
6,1994,10,0.0,0.0,LA_10_1994_4,Current
7,1988,11,0.0,0.0,LA_11_1988_1,Current
8,1990,12,1.0,1.0,LA_12_1990_11,Current
8,1999,6,0.0,0.0,NYT_6_1999_5,Current
9,2009,1,0.0,0.0,SF_1_2009_15,Current
10,1987,12,1.0,1.0,NYT_12_1987_17,Current
10,2004,11,1.0,1.0,LA_11_2004_16,Current
11,1993,5,0.0,0.0,NYT_5_1993_7,Current
12,1988,5,1.0,1.0,MIHB_5_1988_13,Current
12,2007,8,1.0,1.0,NYT_8_2007_3,Current
14,1989,12,0.0,0.0,NYT_12_1989_33,Current
14,1993,9,0.0,0.0,NYT_9_1993_2,Current
15,1994,4,0.0,0.0,MIHB_4_1994_11,Current
15,2000,12,0.0,0.0,NYT_12_2000_39,Current
16,1997,1,0.0,0.0,SF_1_1997_5,Current
17,1992,2,1.0,1.0,NYT_2_1992_20,Current
17,1997,12,0.0,0.0,LA_12_1997_21,Current
18,1986,9,0.0,0.0,LA_9_1986_13,Current
18,1997,9,1.0,1.0,LA_9_1997_23,Current
19,1995,8,0.0,0.0,SF_8_1995_7,Current
19,2009,4,0.0,0.0,SF_4_2009_7,Current
20,1997,9,1.0,1.0,LA_9_1997_10,Current
21,1996,3,1.0,1.0,SF_3_1996_8,Current
21,1999,12,0.0,0.0,NYT_12_1999_4,Current
22,2009,11,0.0,0.0,NYT_11_2009_7,Current
23,1995,2,0.0,0.0,MIHB_2_1995_6,Current
23,2011,5,1.0,1.0,SF_5_2011_2,Current
24,2005,11,0.0,0.0,NYT_11_2005_6,Current
25,1991,11,1.0,1.0,LA_11_1991_8,Current
25,1997,4,1.0,1.0,SF_4_1997_3,Current
26,1991,10,0.0,0.0,NYT_10_1991_17,Current
26,2008,10,0.0,0.0,MIHB_10_2008_48,Current
27,1993,6,0.0,0.0,DMNB_6_1993_17,Current
27,1994,3,0.0,0.0,LA_3_1994_6,Current
28,1998,7,1.0,1.0,MIHB_7_1998_4,Current
28,2000,4,1.0,1.0,NYT_4_2000_2,Current
29,1998,12,1.0,1.0,NYT_12_1998_12,Current
29,2001,5,0.0,0.0,DMNB_5_2001_30,Current
30,1996,9,0.0,0.0,MIHB_9_1996_2,Current
30,2002,6,1.0,1.0,NYT_6_2002_20,Current
31,2004,1,0.0,0.0,DMNB_1_2004_11,Current
31,2006,7,1.0,1.0,SF_7_2006_10,Current
32,1986,2,1.0,1.0,LA_2_1986_4,Current
