ID,text,sentiment,text_clean,label
110_0,"The Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 4-3/4 percent. The slowing of the growth of real GDP in the fourth quarter of 2005 seems largely to have reflected temporary or special factors. Economic growth has rebounded strongly in the current quarter but appears likely to moderate to a more sustainable pace. As yet, the run-up in the prices of energy and other commodities appears to have had only a modest effect on core inflation, ongoing productivity gains have helped to hold the growth of unit labor costs in check, and inflation expectations remain contained. Still, possible increases in resource utilization, in combination with the elevated prices of energy and other commodities, have the potential to add to inflation pressures. The Committee judges that some further policy firming may be needed to keep the risks to the attainment of both sustainable economic growth and price stability roughly in balance. In any event, the Committee will respond to changes in economic prospects as needed to foster these objectives.",hawkish,the federal open market committee decided today to raise its target for the federal funds rate by basis points to - percent the slowing of the growth of real gdp in the fourth quarter of seems largely to have reflected temporary or special factors economic growth has rebounded strongly in the current quarter but appears likely to moderate to a more sustainable pace as yet the run-up in the prices of energy and other commodities appears to have had only a modest effect on core inflation ongoing productivity gains have helped to hold the growth of unit labor costs in check and inflation expectations remain contained still possible increases in resource utilization in combination with the elevated prices of energy and other commodities have the potential to add to inflation pressures the committee judges that some further policy firming may be needed to keep the risks to the attainment of both sustainable economic growth and price stability roughly in balance in any event the committee will respond to changes in economic prospects as needed to foster these objectives ,1
151_2,"Household spending is increasing gradually, but remains constrained by high unemployment, modest income growth, lower housing wealth, and tight credit",dovish,household spending is increasing gradually but remains constrained by high unemployment modest income growth lower housing wealth and tight credit,0
96_0,"The Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 3-1/4 percent. The Committee believes that, even after this action, the stance of monetary policy remains accommodative and, coupled with robust underlying growth in productivity, is providing ongoing support to economic activity. Although energy prices have risen further, the expansion remains firm and labor market conditions continue to improve gradually. Pressures on inflation have stayed elevated, but longer-term inflation expectations remain well contained. The Committee perceives that, with appropriate monetary policy action, the upside and downside risks to the attainment of both sustainable growth and price stability should be kept roughly equal. With underlying inflation expected to be contained, the Committee believes that policy accommodation can be removed at a pace that is likely to be measured. Nonetheless, the Committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability.",hawkish,the federal open market committee decided today to raise its target for the federal funds rate by basis points to - percent the committee believes that even after this action the stance of monetary policy remains accommodative and coupled with robust underlying growth in productivity is providing ongoing support to economic activity although energy prices have risen further the expansion remains firm and labor market conditions continue to improve gradually pressures on inflation have stayed elevated but longer-term inflation expectations remain well contained the committee perceives that with appropriate monetary policy action the upside and downside risks to the attainment of both sustainable growth and price stability should be kept roughly equal with underlying inflation expected to be contained the committee believes that policy accommodation can be removed at a pace that is likely to be measured nonetheless the committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability ,1
33_2,"In a related action, the Board of Governors approved a 50 basis point reduction in the discount rate to 3/4 percent",dovish,in a related action the board of governors approved a basis point reduction in the discount rate to percent,0
72_0,"The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 1 3/4 percent. The information that has become available since the last meeting of the Committee suggests that aggregate demand is growing at a moderate pace. Over time, the current accommodative stance of monetary policy, coupled with still robust underlying growth in productivity, should be sufficient to foster an improving business climate. However, considerable uncertainty persists about the extent and timing of the expected pickup in production and employment owing in part to the emergence of heightened geopolitical risks. Consequently, the Committee believes that, for the foreseeable future, against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the risks are weighted mainly toward conditions that may generate economic weakness.",neutral,the federal open market committee decided today to keep its target for the federal funds rate unchanged at percent the information that has become available since the last meeting of the committee suggests that aggregate demand is growing at a moderate pace over time the current accommodative stance of monetary policy coupled with still robust underlying growth in productivity should be sufficient to foster an improving business climate however considerable uncertainty persists about the extent and timing of the expected pickup in production and employment owing in part to the emergence of heightened geopolitical risks consequently the committee believes that for the foreseeable future against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available the risks are weighted mainly toward conditions that may generate economic weakness ,2
148_8,"The Committee will maintain the target range for the federal funds rate at 0 to 1/4 percent and continues to anticipate that economic conditions, including low rates of resource utilization, subdued inflation trends, and stable inflation expectations, are likely to warrant exceptionally low levels of the federal funds rate for an extended period",dovish,the committee will maintain the target range for the federal funds rate at to percent and continues to anticipate that economic conditions including low rates of resource utilization subdued inflation trends and stable inflation expectations are likely to warrant exceptionally low levels of the federal funds rate for an extended period,0
70_0,"The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 1 3/4 percent. The information that has become available since the last meeting of the Committee confirms that economic activity is continuing to increase. However, both the upward impetus from the swing in inventory investment and the growth in final demand appear to have moderated. The Committee expects the rate of increase of final demand to pick up over coming quarters, supported in part by robust underlying growth in productivity, but the degree of the strengthening remains uncertain. In these circumstances, although the stance of monetary policy is currently accommodative, the Committee believes that, for the foreseeable future, against the background of its long run goals of price stability and sustainable economic growth and of the information currently available, the risks are balanced with respect to the prospects for both goals.",neutral,the federal open market committee decided today to keep its target for the federal funds rate unchanged at percent the information that has become available since the last meeting of the committee confirms that economic activity is continuing to increase however both the upward impetus from the swing in inventory investment and the growth in final demand appear to have moderated the committee expects the rate of increase of final demand to pick up over coming quarters supported in part by robust underlying growth in productivity but the degree of the strengthening remains uncertain in these circumstances although the stance of monetary policy is currently accommodative the committee believes that for the foreseeable future against the background of its long run goals of price stability and sustainable economic growth and of the information currently available the risks are balanced with respect to the prospects for both goals ,2
35_4,"In addition to elevating premiums for some energy products, the disruption to the production and refining infrastructure may add to energy price volatility",hawkish,in addition to elevating premiums for some energy products the disruption to the production and refining infrastructure may add to energy price volatility,1
140_7,"Moreover, the Committee sees some risk that inflation could persist for a time below rates that best foster economic growth and price stability in the longer term",dovish,moreover the committee sees some risk that inflation could persist for a time below rates that best foster economic growth and price stability in the longer term,0
26_3,"To be sure, weakness in demand shows signs of abating, but those signs are preliminary and tentative",neutral,to be sure weakness in demand shows signs of abating but those signs are preliminary and tentative,2
9_3,"The Committee remains concerned that increases in demand will continue to exceed the growth in potential supply, which could foster inflationary imbalances that would undermine the economy's record economic expansion",hawkish,the committee remains concerned that increases in demand will continue to exceed the growth in potential supply which could foster inflationary imbalances that would undermine the economy's record economic expansion,1
113_5,"Nonetheless, the Committee judges that some inflation risks remain",hawkish,nonetheless the committee judges that some inflation risks remain,1
58_7,"The Committee continues to believe that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the risks are weighted mainly toward conditions that may generate economic weakness in the foreseeable future",dovish,the committee continues to believe that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available the risks are weighted mainly toward conditions that may generate economic weakness in the foreseeable future,0
99_5,"The Committee perceives that, with appropriate monetary policy action, the upside and downside risks to the attainment of both sustainable growth and price stability should be kept roughly equal",neutral,the committee perceives that with appropriate monetary policy action the upside and downside risks to the attainment of both sustainable growth and price stability should be kept roughly equal,2
88_4,"Despite the rise in energy prices, inflation and inflation expectations have eased in recent months",neutral,despite the rise in energy prices inflation and inflation expectations have eased in recent months,2
34_1,The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 1-1/4 percent,neutral,the federal open market committee decided today to keep its target for the federal funds rate unchanged at - percent,2
8_0,The Federal Open Market Committee voted today to raise its target for the federal funds rate by 25 basis points to 5-3/4 percent,hawkish,the federal open market committee voted today to raise its target for the federal funds rate by basis points to - percent,1
113_0,"The Federal Open Market Committee decided today to keep its target for the federal funds rate at 5-1/4 percent. Economic growth has moderated from its quite strong pace earlier this year, partly reflecting a gradual cooling of the housing market and the lagged effects of increases in interest rates and energy prices. Readings on core inflation have been elevated in recent months, and the high levels of resource utilization and of the prices of energy and other commodities have the potential to sustain inflation pressures. However, inflation pressures seem likely to moderate over time, reflecting contained inflation expectations and the cumulative effects of monetary policy actions and other factors restraining aggregate demand. Nonetheless, the Committee judges that some inflation risks remain. The extent and timing of any additional firming that may be needed to address these risks will depend on the evolution of the outlook for both inflation and economic growth, as implied by incoming information.",neutral,the federal open market committee decided today to keep its target for the federal funds rate at - percent economic growth has moderated from its quite strong pace earlier this year partly reflecting a gradual cooling of the housing market and the lagged effects of increases in interest rates and energy prices readings on core inflation have been elevated in recent months and the high levels of resource utilization and of the prices of energy and other commodities have the potential to sustain inflation pressures however inflation pressures seem likely to moderate over time reflecting contained inflation expectations and the cumulative effects of monetary policy actions and other factors restraining aggregate demand nonetheless the committee judges that some inflation risks remain the extent and timing of any additional firming that may be needed to address these risks will depend on the evolution of the outlook for both inflation and economic growth as implied by incoming information ,2
57_2,"Consumer and business confidence has eroded further, exacerbated by rising energy costs that continue to drain consumer purchasing power and press on business profit margins",dovish,consumer and business confidence has eroded further exacerbated by rising energy costs that continue to drain consumer purchasing power and press on business profit margins,0
73_2,"In a related action, the Board of Governors approved a 50 basis point reduction in the discount rate to 3/4 percent",dovish,in a related action the board of governors approved a basis point reduction in the discount rate to percent,0
7_1,"Based on the available evidence, however, the Committee remains concerned with the possibility that over time increases in demand will continue to exceed the growth in potential supply, even after taking account of the remarkable rise in productivity growth",hawkish,based on the available evidence however the committee remains concerned with the possibility that over time increases in demand will continue to exceed the growth in potential supply even after taking account of the remarkable rise in productivity growth,1
123_4,The recent intensification of the financial crisis has augmented the downside risks to growth and thus has diminished further the upside risks to price stability,neutral,the recent intensification of the financial crisis has augmented the downside risks to growth and thus has diminished further the upside risks to price stability,2
128_2,"Economic growth appears to have been moderate during the first half of this year, despite the ongoing adjustment in the housing sector",dovish,economic growth appears to have been moderate during the first half of this year despite the ongoing adjustment in the housing sector,0
23_3,"As a consequence, the FOMC recognizes that the actual federal funds rate may be below its target on occasion in these unusual circumstances",dovish,as a consequence the fomc recognizes that the actual federal funds rate may be below its target on occasion in these unusual circumstances,0
108_1,"In a related move, the Federal Open Market Committee agreed that the reduction would be reflected fully in interest rates in the reserve markets",neutral,in a related move the federal open market committee agreed that the reduction would be reflected fully in interest rates in the reserve markets,2
79_3,"The evidence accumulated over the intermeeting period shows that spending is firming, although labor market indicators are mixed",neutral,the evidence accumulated over the intermeeting period shows that spending is firming although labor market indicators are mixed,2
140_12,"In addition, the Federal Reserve will buy up to $300 billion of Treasury securities by autumn",dovish,in addition the federal reserve will buy up to billion of treasury securities by autumn,0
