article,time_period,uncertainty_matches,uncertainty_label,economic_matches,economic_label,policy_matches,policy_label,epu_label
1,historical,['uncertainty'],1,[],0,[],0,0
2,historical,['uncertainty'],1,[],0,[],0,0
3,historical,[],0,[],0,[],0,0
4,historical,['uncertain'],1,['economic'],1,[],0,0
5,historical,['uncertainty'],1,[],0,[],0,0
6,historical,['uncertainty'],1,[],0,[],0,0
7,historical,['uncertain'],1,[],0,['federal reserve'],1,0
8,historical,['uncertain'],1,['economic'],1,[],0,0
9,historical,['uncertainty'],1,[],0,['congress'],1,0
10,historical,['uncertainty'],1,[],0,[],0,0
11,historical,['uncertainty'],1,[],0,['congress'],1,0
12,historical,['uncertain'],1,[],0,[],0,0
13,historical,['uncertain'],1,[],0,[],0,0
14,historical,[],0,[],0,['congress'],1,0
15,historical,['uncertainty'],1,[],0,[],0,0
16,historical,['uncertainty'],1,['economic'],1,"['regulation', 'congress']",1,1
17,historical,[],0,[],0,[],0,0
18,historical,['uncertain'],1,[],0,[],0,0
19,historical,['uncertain'],1,['economic'],1,['legislation'],1,1
20,historical,['uncertainty'],1,[],0,[],0,0
21,historical,[],0,[],0,[],0,0
22,historical,['uncertain'],1,[],0,[],0,0
23,historical,['uncertain'],1,[],0,[],0,0
24,historical,['uncertainty'],1,['economic'],1,['congress'],1,1
25,historical,['uncertain'],1,[],0,[],0,0
26,historical,['uncertain'],1,[],0,[],0,0
27,historical,['uncertain'],1,[],0,[],0,0
28,historical,['uncertain'],1,[],0,[],0,0
29,historical,['uncertainty'],1,[],0,[],0,0
30,historical,['uncertain'],1,[],0,[],0,0
31,historical,['uncertainty'],1,[],0,['legislation'],1,0
32,historical,['uncertain'],1,[],0,[],0,0
33,historical,['uncertain'],1,[],0,[],0,0
34,historical,['uncertainty'],1,[],0,[],0,0
35,historical,['uncertainty'],1,[],0,[],0,0
36,historical,['uncertainty'],1,[],0,"['congress', 'legislation']",1,0
37,historical,['uncertain'],1,[],0,[],0,0
38,historical,['uncertain'],1,[],0,[],0,0
